name,address,設置数,lat,lng,
㈱イトーヨーカ堂大船店(事務所),神奈川県鎌倉市大船6-1-1,1,35.354347,139.537931,
由比ガ浜地下駐車場,神奈川県鎌倉市由比ガ浜4-1-7,1,35.309808,139.543675,
鎌倉学園中高等学校,神奈川県鎌倉市山ノ内110,1,35.331108,139.552925,
三菱電機ライフサービス㈱湘南支社,神奈川県鎌倉市笛田3-30-1,1,35.322683,139.521722,
鎌倉プリンスホテル(エレベーター横),神奈川県鎌倉市七里ガ浜東1-2-18,1,35.305506,139.515514,
鎌倉プリンスホテル(バンケットホール),神奈川県鎌倉市七里ガ浜東1-2-18,1,35.305506,139.515514,
鎌倉プリンスホテル(ゴルフ場),神奈川県鎌倉市七里ガ浜東1-2-18,1,35.305506,139.515514,
ダイヤモンド鎌倉別邸ソサエティ,神奈川県鎌倉市由比ガ浜3-12-25,1,35.313419,139.539742,
カトリック雪ノ下教会,神奈川県鎌倉市小町2-14-4,1,35.320594,139.553353,
コーナン鎌倉大船モール,神奈川県鎌倉市岡本1188-1,1,35.347775,139.516611,
鎌倉パークホテル,神奈川県鎌倉市坂ノ下33-6,1,35.305319,139.531978,
長谷寺,神奈川県鎌倉市長谷3-11-2,1,35.312422,139.533161,
建長寺（拝観受付）,神奈川県鎌倉市山ノ内8,1,35.330631,139.553472,
建長寺（庭園拝観受付）,神奈川県鎌倉市山ノ内8,1,35.331853,139.555319,
建長寺（半僧坊御祈祷受付）,神奈川県鎌倉市山ノ内8,1,35.334536,139.558556,
三菱電機㈱情報技術総合研究所,神奈川県鎌倉市大船5-1-1,1,35.350589,139.537278,
三菱電機㈱大船体育館,神奈川県鎌倉市大船2-14,1,35.350453,139.535847,
富士見町町内会（ホンダウィング内）,神奈川県鎌倉市台2-2-18,1,35.348972,139.529161,
鶴岡八幡宮,神奈川県鎌倉市雪ノ下2-1-13,1,35.325169,139.556028,
鎌倉宮,神奈川県鎌倉市二階堂154,1,35.325858,139.566853,
デンカ㈱大船工場,神奈川県鎌倉市台2-13-1,1,35.347725,139.527917,
(財)鎌倉市公園協会(夫婦池）,神奈川県鎌倉市鎌倉山2-2-2,1,35.319681,139.517292,
(財)鎌倉市公園協会（源氏山公園）,神奈川県鎌倉市扇ガ谷4-469-1,1,35.326403,139.5443,
(財)鎌倉市公園協会[散在が池公園）,神奈川県鎌倉市今泉台7-930-1,1,35.341808,139.562264,
(財)鎌倉市公園協会（海浜公園）,神奈川県鎌倉市由比ガ浜4-7-1,1,35.31015,139.542694,
JR大船駅(南口改札）,神奈川県鎌倉市大船1-1-1,1,35.353439,139.531222,
JR大船駅(北口改札）,神奈川県鎌倉市大船1-1-1,1,35.354603,139.531814,
㈱マツヤ(モービル鎌倉給油所）,神奈川県鎌倉市由比ガ浜2-1-20,1,35.315594,139.550194,
㈱マツヤ(エッソ手広給油所）,神奈川県鎌倉市手広1-5-21,1,35.330375,139.511853,
シンロイヒ㈱,神奈川県鎌倉市台2-19-12,1,35.344983,139.528681,
カーブス大船,神奈川県鎌倉市台3-3-13,1,35.345636,139.531825,
ミハル通信㈱(事務所棟),神奈川県鎌倉市岩瀬1285,1,35.361581,139.544417,
ミハル通信㈱(工場棟),神奈川県鎌倉市岩瀬1285,1,35.361581,139.544417,
鎌倉税務署,神奈川県鎌倉市佐助1-9-30,1,35.320181,139.543117,
㈱ベネッセスタイルケア鎌倉山荘,神奈川県鎌倉市扇ガ谷4-1-3,1,35.326397,139.548925,
電通鎌倉研修所,神奈川県鎌倉市大町3-13-1,1,35.317508,139.56125,
玉縄幼稚園,神奈川県鎌倉市植木129,1,35.351708,139.519353,
障害福祉サービス事業所工房ひしめき,神奈川県鎌倉市鎌倉山2-8-34,1,35.317286,139.518556,
二階堂親和会（クロスハート二階堂鎌倉）,神奈川県鎌倉市二階堂267-67,1,35.331033,139.565742,
今泉台町内会,神奈川県鎌倉市今泉台4-6-13,1,35.338483,139.557972,
東京ガスエネワーク㈱ライフバル湘南鎌倉店,神奈川県鎌倉市御成町4-5,1,35.3164,139.550139,
鎌倉とうきゅう,神奈川県鎌倉市小町1-2-11,1,35.318228,139.550925,
㈱鎌倉ファミリー,神奈川県鎌倉市台3-6-6,1,35.345283,139.532069,
鎌倉乃えん（鎌倉ケアホームえん）,神奈川県鎌倉市今泉3-18-6,1,35.344339,139.56095,
ルネサンスリハビリセンター大船,神奈川県鎌倉市岩瀬1-17-5,1,35.354542,139.541589,
鎌倉保健福祉事務所,神奈川県鎌倉市由比ガ浜2-16-13,1,35.312561,139.547125,
宗教法人日本キリスト教団鎌倉教会,神奈川県鎌倉市由比ガ浜2-2-6,1,35.315417,139.549222,
ドコモショップ鎌倉店,神奈川県鎌倉市小町1-3-5,1,35.317417,139.550867,
清泉小学校,神奈川県鎌倉市雪ノ下3-11-45,1,35.324603,139.561772,
特養鎌倉静養館,神奈川県鎌倉市由比ガ浜4-4-30,1,35.310417,139.544439,
JR鎌倉駅（東口改札）,神奈川県鎌倉市小町1-1-1,1,35.319017,139.550689,
JR鎌倉駅（西口改札）,神奈川県鎌倉市小町1-1-1,1,35.319044,139.550208,
鎌倉婦人子供会館,神奈川県鎌倉市小町1-11-5,1,35.317625,139.553439,
グランダ深沢鎌倉,神奈川県鎌倉市寺分3-15-23,1,35.331442,139.52455,
パタゴニアインターナショナルインク（店舗）,神奈川県鎌倉市小町1-13-12,1,35.317264,139.551222,
パタゴニアインターナショナルインク（事務所）,神奈川県鎌倉市小町1-13-12,1,35.317264,139.551222,
パタゴニアインターナショナルインク（メンテナンス）,神奈川県鎌倉市由比ガ浜2-11-18,1,35.313317,139.548819,
認定こども園学校法人吉沢学園深沢幼稚園,神奈川県鎌倉市寺分1-15-4,1,35.334497,139.5215,
認定こども園学校法人吉沢学園保育園アワーキッズ鎌倉,神奈川県鎌倉市寺分1-13-5,1,35.334083,139.521883,
徳洲会スポーツセンターかまくら,神奈川県鎌倉市梶原560-5,1,35.333306,139.518278,
